十四號門徒,3,27791,['2021-02-12'],我从来没看过这样子无耻的在电影里插入广告的行为
再喝奶茶就是狗,4,15564,['2021-02-12'],刘昊然很帅，但是护士姐姐被打和36D那里真的让我生理性不适
土方波妞子,3,27353,['2021-02-12'],又想娱乐又想破案，又来一堆莫名其妙的客串，拼出个风格割裂过期榴莲披萨，你把它放进微波炉热，一屋子💩味儿
天马星,3,25712,['2021-02-12'],非常分裂的片子，一面为抛妻弃女的男人作传，自以为男人忏悔很好看，一面想出殴打女护士来搞笑的桥段，骨子里的油腻改不了，以致于所有演员到了陈思诚的电影里，都会变得和他本人一样油腻，金龙鱼快找他代言（金龙鱼看到这条给我打钱~），所以你妈没教你们尊重医护和女性的吗？
亲爱滴么么哒,3,13305,['2021-02-12'],没那味了，后面强行升华，些许厌倦。
逝去的年华,3,10463,['2021-02-12'],开场尬到爆啊，逻辑混乱，推理小儿科啊，结局强行升华啊，总之是一部能看但不推荐的平平无奇的电影。
𡁻鐭盦,1,17132,['2021-02-12'],王宝强的装疯卖傻已经到了恶心的地步
会滑行的饺子,2,22504,['2021-02-12'],全剧136分钟：110分钟的跑路+15分钟的父女故事10分钟的推理+1分钟的广告。
精彩电影好生活,1,12291,['2021-02-12'],如果这部烂片都能拿国内影史第一的话 那中国电影质量还有救么
豇豆胡萝卜,3,7072,['2021-02-13'],一个年轻貌美的妈妈为了一碗面当着自己小孩的面被一个流浪汉糟蹋… 想出这种剧情的人指定是脑子有点问题
白感交集,2,19626,['2021-02-12'],5分钟就能看出来这电影崩了，每个人都比昨晚的春晚演员还要聒噪，特别是唐仁完全就是个发了情的泰迪，恶心至极。
长谷川纪子,1,9344,['2021-02-12'],多次拿女性胸部玩梗就是很不适
Meow_Tuttie,2,15822,['2021-02-12'],低俗谄媚粗制滥造，连起码的诚意都没有，推理全靠奇情轶闻，笑点东拼西凑，初一起了个大早去看电影，刷抖音睡懒觉不香吗。为了长泽雅美，努力多挤了1星，滚蛋吧，还唐探宇宙，不要太膨胀，呕。
七岔犄角,2,12297,['2021-02-12'],无底线的烂梗真的很无聊
Jasper,4,5381,['2021-02-12'],"世界上一切可以称之为艺术的东西都需要天赋。
 "
魔人啾啾,3,5484,['2021-02-12'],无语，这个夹带私货好多，好多地方尬的一身鸡皮疙瘩，就是普通的商业片。
假亦真,3,5221,['2021-02-12'],不能忍强殴女护士！！！
kuma,4,3414,['2021-02-12'],日本群演吊打大陆流量明星…
马耳东风,1,7191,['2021-02-12'],懂了，Q是圣殿骑士团日本分部
TT_Zian,3,3208,['2021-02-12'],整个片子如同看了日本文旅宣传片和泰拳的宣传片，中国元素太少了。无厘头搞笑风格，拉低前两部作品的悬疑推理能力。总之，很失望。
阳光男孩,2,7232,['2021-02-12'],通篇尴尬的植入广告让这部电影里少数的闪光点都变成了照亮茅坑里最恶心那坨屎的一束灯。比第二部更尴尬，莫名其妙的升华更是让人看到了陈导的幼稚。而从这部电影里看的出日本演员的演技整体都是高于片中其他国家的演员，演员们还需要努力呀。但颜值真的是定死了，哪怕同样满脸褶，妻夫木聪也照样比宝强帅几个维度，麻酱真美，MJ真好听
S.T,2,6321,['2021-02-12'],"不及格。
1.太闹，尤其是前半段，甚至于删去都影响不大，有些偏题。
2.除法庭戏外，托尼贾的角色几乎毫无用处。
3.Q与密室案关系不大，结合的很生硬。
4.Q的真相意料之中，无惊喜。
5.林默、思诺、五大灵童几乎是为了出现而出现，杂。
6.法庭戏的自述还可以，这段的结尾有股柯南的味道。
7.结尾不好，我不明白用《Heal the World》的意义在哪。
8.唐探4在英国，不过我不想看了。

这次观影实属偶然，只是因为失眠，早上去打发时间。"
拥桑,2,4228,['2021-02-12'],"陈思诚的才华于此而尽了吧，在霓虹推理大国果然见光死。如果说在泰国是惊艳，美国是普通及格，这部就是不及格。所有的反转都在预期内，丝毫没有恐怖感，惊慌感，低于预期。知道在霓虹国玩不了把戏，干脆不玩把戏了。直接整日本的忍术，相扑。再来个Q是信神论。搞笑有余，推理不足。前半部分的推理氛围铺垫太好，后面一锅大乱炖。Q压根不是谁，而是谁都可以。中田可以玩36D，可以要挑战关卡的环节，到了监狱自诉就犹如传销。法庭翻案变成儿戏，什么我反对…那是日本法律被黑的最惨的一次。不是剧本烂，而是我们期待感太高。或许不是陈思诚才华好，而是他的才华正在被他的名声消耗的越来越差。《唐人街探案3》在讲一个自导自演的故事，所有的谋杀，信念随着日本忍术一消而尽。"
张天杭,1,6501,['2021-02-12'],我吐了，贺岁片就是俗加屎尿屁么？唐探标榜的本格呢？烂，看了就上当。
五更可乐,2,3436,['2021-02-12'],但凡找了个二流国产推理作家也写不出这种案子，还搞得像自己发现了卡尔没有发现的死角。陈思诚一如既往地不会做类型混搭，喜剧和推理完全是脱离的。中方演员全员被长泽雅美结尾一场戏吊打，一直跟在刘昊然和王宝强的妻夫木聪也像被同化了一样，用疯癫的面部表情输出低俗的笑料。当然还是有几处亮点的，但总体真的很让人失望，这个系列跟春节档绑定之后，唐探1的惊艳不可能再被复制了。
书海无涯,1,5970,['2021-02-12'],期望越大，失望也就越大，古人诚不欺我，资本的力量，营销广告无孔不入，可惜事与愿违！
素素素素素丶,1,5825,['2021-02-12'],零分。三部曲下来，陈思诚恶俗和自恋的风光真是越放越大了，整部片无任何审美可言，有的只是一片遍地豪金和各种无语的插入广告画面，好羡慕唐仁身边有个桶啊。
三皮虎,1,4868,['2021-02-12'],当女性在遮蔽的裹尸袋里被一群男性毒打的片段出来引得全场哄堂大笑的时候 我只能感到悲伤 看吧 这就是你们身处其中的男权社会 不知道陈思诚这是刻意安排吗 为什么同样身为男性的王宝强也在裹尸袋里却不安排他成为暴力的受害者？这可是面对可能亿万观众的屏幕在传递的男性暴力…我真的觉得这位油腻导演有必要出来解释一下
Mr. 小新,1,5071,['2021-02-12'],煽情的那部分是认真的？？？好手好脚的妈，为了给女儿一碗面去跟流氓睡，为了给女儿一块蛋糕去偷去抢，被抓了之后病死在监狱？从此女儿决心对抛妻弃女的父亲复仇？？？这是什么狗血剧情。什么年代了，还这么三观不正。
Zian,5,12018,['2021-02-12'],"唐探真的构成了一个唐探宇宙，可以说是中国内陆第一部有宇宙观的电影了。原来的演员一直都在，而且还有了我最喜欢的长泽雅美姐姐
 
故事上来说，完全兼顾所有人，娱乐性很强，但是娱乐后面也有一些深刻的命题，不是非善即恶，很多深刻的命题都以轻松的方式展开，期待唐探四，也感觉到中国的商业电影制作，愈发成熟了！开心！"
Lovegood,1,3450,['2021-02-12'],肆意植入 强行煽情 零散故事 
蒲公英_,2,3202,['2021-02-12'],好几次都尴尬到脚趾头扣穿地心了，等了一年真的不值……
我酷的很厉害,1,3266,['2021-02-12'],莫名其妙，现在春节档这么好糊弄嘛？这就是两年多剪辑出来的电影吗？现在烂片市场行情这么好吗？？真不明白自己为啥花70多看这么一部尴尬的电影。
思路乐,1,3001,['2021-02-12'],【D】在电影院头一次如此想拿刀砍人，陈思诚，你做到了。第三部究竟烂到什么地步了呢？连王宝强的表演风格都被衬托得不再那么恶心了。更烂的是什么？是那份无止境插入广告的心；是那份毫无遮掩的低俗喧闹；是编剧们胡搞瞎搞还故作深沉的态度。以及，我这辈子花的最不值的IMAX票钱。干你马陈思诚，IMAX摄影机是让你这么用的？一开场那个长镜头就几乎让我崩溃，我是没见过有人敢把播放速率调的这么离谱。至于结尾，敢情宁拿IMAX就是为了拍烟花？还整了个世界大同的配乐？也别说什么MV了，至少MV的歌曲与画面好歹是搭调的。真想把陈思诚驱逐出中国电影圈哇
Lilstrawberry,1,3084,['2021-02-12'],"太差了，我第二次在电影院看到一半出来，吐了。没想到2021年，还能看到这种纯物化女性的片子，看到一半所有的梗都是跟男性凝视相关，入中国籍、36D、小白腿、奸杀犯、你这种娘炮不是男人。医院一群大老粗暴打女护士的片段可以当选近几年最恶臭镜头。不仅如此，还要站以中国视角诋毁日本文化，所有日本元素都流于表面，充满偏见和嘲讽。我的天，陈思诚我是真的服了，一两个低俗梗就算了，没想到所有梗全都是低俗向。这种傻逼价值观的片子还在大年初一被全中国人看到，唐探宇宙彻底崩塌。"
